,review
842,"Boasting two locations now, this spot is housed in the Mall of Fortune, which seems to be a suitably lofty name for such a local yet ornate treasure. Expect to be greeted by a line out the door, but inside, find a giant chandelier and clipboard with several names ahead of the free space to jot down your own. Don’t worry—that line moves quickly and you’ll be slurping up glass noodles in no time.Go with a group and order a feast as the menu, replete with regional specials, has much more to offer than one or two can possibly explore. Fresh, clean flavors are at the forefront of grilled pork spring rolls full of herbs, vermicelli and fried garnishes for irresistible crunch. Unsurprisingly, the soft tofu with garlic and chives is a hearty, well-loved signature.
"
843,"Nestled within an upscale galleria called The OC Mix, this simply appointed but highly desirable gem boasts one of the country’s most refined expressions of Mexican cuisine. Brought to you by the intensely creative Chef Carlos Salgado, lunch here focuses on elevated tacos. But in truth, this kitchen shines brightest at dinner, with a prix-fixe menu that's inspired by Salgado’s heritage and bolstered by top-notch produce and techniques honed during his fine-dining days.Following suit, the clued-up staff excels in every way.Centered around a sleek open kitchen and counter, the cooking boasts a unique level of reverence towards traditional ingredients like masa—and plates rarely appear cluttered or overly complicated. This is food that’s easy to eat and easy to crave. Look forward to intricate dishes like sea scallops gratinados with Chihuahua cheese and squid ink breadcrumbs; or a tamal finished with a sauce of sweet corn, huitlacoche, and hoja santa. If mole is on the menu, you’ll know, as its tempting aroma floods the room. Most recently, strips of seared Aspen Ridge skirt steak set in a pool of peanut mole were accompanied by guacamole and pea tendrils for an utterly peerless effort.
"
844,"If you are no stranger to the slurp, then Pho 79 is likely already on your circuit. After all, this place is an institution. Opened in the early 80s, it's widely considered to ladle some of the best and most praiseworthy pho in southern California.The simple interior is enlivened by a bright yellow wall adorned with numerous accolades. It's spartan but clean, and you're here for the pho, not the fashion show. Place your name on the clipboard by the front door and expect a wait. Once seated, peruse the extensive menu, which runs the gamut from egg noodle soups and goi cuon, to appetizers and desserts along with many varieties of the eponymous dish. You'll never go wrong with oxtail—it's the most popular with good reason.  
"
845,"Few kitchens can prepare a noodle roll quite like this local Alhambra favorite. Rice wrappers filled with gently cooked lobster meat and finished with a subtly sweet soy sauce arrive on a platter set with the lobster shell itself for a presentation that draws attention from all corners. Indeed, this kitchen puts a fine edge on the area’s dim sum scene. There is not a single cart roaming this elegant dining room, which in turn is managed by a team of fast and friendly servers who will ensure that you never leave less than stuffed. Traditionalists will want to end with a rich egg tart, but for a more soothing finale, order the minced pork congee infused with soy, green onions and wonton chips.The restaurant also runs a second location in Pasadena.
"
846,"This longtime favorite may show a little age in its décor, but the food is as vibrant as ever thanks to the ministrations of an adept kitchen. Known for salads, sandwiches and strong vegetarian options like a gorgeous burnt carrot salad with avocado, this team can also turn out a top-notch burger—with lamb, feta, mint pesto and garlic aïoli. Other favorites include that old Raymond classic—tender chicken simmered in a curried chicken sauce and served with peanuts, raisins and coconut.This “something for everyone” philosophy extends to the clientele—you’re as likely to find millennials gossiping over cocktails at the 1886 Bar as you are boomers on date night, right by the crackling fireplace. Regulars know not to sleep on the easy-breezy lunch service.
"
847,"With an eye-catching red-and-black design as well as a tome-like menu packed with tempting photos, it’s clear that this operation commands your attention. It certainly succeeds in nabbing buzz, as it is a favorite of critics and foodies alike.Dishing out fiery cuisine true to its Sichuan province namesake, it’s difficult to find anything on the menu without the red chili symbol. This food is not intended for milquetoasts, so if you have a spice-loving pack of friends, round them up, as the sharing-minded food caters to groups. Sup on mapo tofu, cold noodles with garlic sauce or shrimp with a crispy rice crust before readying yourself for the tongue-numbing fish cooked with serrano chiles, cracked Sichuan peppercorns and a piquant chili oil.
"
848,"Aside from the framed samurai swords and black dragon painting, it’s clear that this minimally dressed sushiya subscribes to the whisper-don’t-scream school of thought. That spirit extends to the menu, where there is no sign of fusion. Surely that is why a largely Japanese clientele packs this place. Sushi is available à la carte, but the seasonal omakase features fish served in rapid-fire succession. Hirame, with a touch of freshly grated yuzu zest, is a delicious start. Then it’s grouper with pickled daikon, which may be tailed by velvety kanpachi or shima aji with a dab of minced ginger. Spice heads will devour the red snapper with stir-fried shishito peppers.In keeping with its no fuss-attitude, they don't take reservations, so be sure to plan ahead.
"
849,"Chef Susumu Ii is no stranger to the SoCal dining scene and his sushiya flaunts an equally fluent repertoire. The space is chic and well designed; and the kaiseki-style menu, complete with Japanese-imported fish and local ingredients, is a tribute to the seasons.These plates are meticulously prepared and enjoyably nuanced. The Bizen option may commence with the likes of tofu topped with Bafun uni and yuba, followed by a procession of cold summer bites, sashimi, and silky ankimo with nukazuke pickles. Peak-season belt fish may then be presented with yamaimo and a dashi-simmered tomato. Nigiri, like wild flounder, hagashi toro, and baby sea bream, are crafted with care; and desserts, like rum raisin ice cream, are a wonderful way to seal the second chapter.
,
"
850,"Paradise for diners seeking a culinary adventure, this dining room flaunts a pleasing aura. Service is prompt and tables turn quickly, so those in a rush should come at lunch. It's no wonder that crowds are the norm at peak hour, as meals have been known to render palates smitten, thanks to the likes of fiery oils, funky offal and numbing chilies. Yet there is restraint, with ingredients enhanced by a none-too-over smoky heat.From the menu's creative lingo to a host of familiar items, few will have tasted such bold and perfectly calibrated flavors. The “big mouth” ginger frog in a chili-soaked broth, for instance, is an extraordinary start; while mapo tofu, cold noodles and other myriad preparations go well beyond the usual renditions.
"
851,"Yet another in the wave of Mexican-American LA chefs transforming the cuisine, Thomas Ortega brings his fine-dining drill to bear on this vibrant offering in his native Cerritos. Here he fuses his specific style of the city’s Mexican cuisine, like handmade tortillas and spicy salsas, with an American twist. Look for that Coca-Cola glaze on his pork belly or the sprinkle of Doritos on chilaquiles, not to mention such luxurious accents as truffles.It’s hard to miss with any of Chef Ortega's tacos, which range from light and crisp beer-battered cod with smoky salsa de arbol to gloriously tender and charred al pastor. And that fried “calamari famoso,” bright and peppery with onions and cilantro? It’s the ideal partner for a spicy michelada.
"
852,"It would be easy for this culinary haven to rest on its (glittering waterfront) laurels alone, and yet it is so much more than just a pretty face, or view. The outdoor seating is just right and certainly a bonus, but if that's not enough, this Newport Beach kitchen doles out such dreamy dishes as the famous salad, featuring a wreath of assorted vegetables, served raw, roasted and pickled in a lemon dressing. Black fettuccine flecked with crabmeat, uni and sweet peas is swoon-worthy, just as the fluffy chocolate mousse topped with malted-chocolate spheres makes a divine finale. From sourcing and preparation to plating and service, it is clear that great care is taken at every turn here. Don't miss a glass of wine or beer from their wide-reaching lists. 
"
853,"With its elegant design and backdrop of the sparkling sea, this ""fabled"" spot doesn't have to try that hard to win fans. And yet, it never rests solely on its good looks. The room is packed with an unmistakable hum of happy diners diving into delicious pub grub. The comprehensive menu has it all and you'll want to order everything (go ahead). The Guinness brown bread is an absolute delight, especially paired with plump P.E.I. mussels bathed in a thyme butter so heady that you'll want to slurp up every drop. Not far behind, the cracked pepper bucatini—studded with clams and pancetta—is a glorious tangle of goodness.  But don't forget dessert since their options are well worth it. Imagine brioche bread pudding with blueberry compote and crème anglaise. 
"
854,"The name comes from the building’s former life as the Highland Park Post Office, but everything else here is Cal-Ital in spirit. The dining space is convivial and airy, with beamed ceilings and an open kitchen as its focal point. The vibe is as good for dates as it is for groups.Complimentary bread is rarely as satisfying as their focaccia, with its crispy, salty crust and soft interior. Begin with a sampling of small plates, like hamachi crudo topped with dollops of Meyer lemon relish. Then move on to freshly made pasta, like tender purses of cappellacci filled with sweet corn and dressed in a sauce of butter, mushrooms and thyme. While a meal could end there, you’d be remiss not to order the wood-grilled game or cedar-smoked ocean trout.
"
855,"Otoño offers one of the best “siesta hours” around. With excellent $3 tapas alongside a solid selection of Spanish beers and bargain-priced cocktails (artisanal gin and tonic, anyone?), you’ll want to snag a seat between 4:00-6.00 P.M. if you can. Pressed-tin panels, a colorful mural and exposed rafters give the space an eclectic vibe.Modern California touches influence the tapas turned out of this kitchen, while larger dishes like braised octopus, smoked chicken thighs and paella options offer heartier fare if you're game. Don't miss the boquerones y mantequilla-a delicious little plate of fresh anchovies paired with roasted radishes and a terrific tuna and anchovy goat butter. Crema Catalana with wine-soaked blackberries is a light, boozy delight.
"
856,"La Azteca is an easy restaurant to find. Just look for the line of people snaking out of its front door. This modest counter-service operation has been serving hefty burritos from East LA for many years now. What’s their secret? Flour tortillas are made in-house every day in full view of the dining room and boast a kind of richness and chew that others don’t. There are nearly 20 different burritos on offer, but everyone comes for the winning chile relleno. The tortilla is cooked on a griddle and then filled—not stuffed—with slivers of sweet poblano peppers and gooey cheese. There’s hot sauce if you want it (you do) and a to-go bag if you need it (you won’t).Tacos and quesadillas are also available but certainly not the main attraction.
"
857,"""Chifa"" is the term Peruvians use to refer to a “Chinese restaurant,"" and if the green velvet chairs as well as the zebra-print walls aren't clue enough, look to the team who isn't shy about anything.The succinct menu pulls from family recipes and childhood memories to pack in flavor at every turn. Start easy with Japanese sea bream soaking in an orange and lime sauce, before moving on to char siu, starring pork cheek finished on a wood-fire grill—it's the stuff of barbecue dreams. Your visit would be incomplete without the lomo saltado, featuring tender chunks of filet mignon and sauteed onions coated in an umami-rich gravy and served on a pile of French fries. If, by some off chance, you’re still hungry, finish with a black sesame-cheesecake tart.
"
858,"Across from beautiful Huntington Beach, find this not-so-secret speakeasy tucked inside its parent restaurant, Bluegold. But the difference is palpable—LSXO is a bit cooler, louder and has a more defined personality. A trio of house-made condiments tops each table, with umami-rich fish sauce in place of salt, spice-infused oil as your pepper and a bottle of hot sauce as your furnace. Experiment with all three on refreshing noodle dishes like banh tam bi twirled with shredded pork, pickled vegetables and coconut milk. Other tantalizing mains may reveal shaky shaky beef, drizzled with burnt-butter soy sauce and set over garlic-tomato fried rice.Getting a seat here can be tough, but good food makes this so much more than just a scene.
"
859,"Hanging on the wall of this stamp of an establishment is a T-shirt that reads, “Better than your grandmother’s mole.” If you aren’t Mexican, the slogan definitely holds true, but if you are it probably still holds true. After all, they don’t call Chef Rocio Camacho ""The Goddess of Mole"" for nothing. Her sauces are ace, served in a humble outpost.Diners are greeted with a basket of warm chips laced with a myriad of moles that range from sweet and spicy to smoky. Best of the lot though is the classic mole Oaxaqueño, a 32-ingredient symphony of flavors. Coming in at a close second is the black-as-night huitlacoche sauce composed with “Mexican truffle.” Poured over a square of seared mahi mahi, it would be as good even if served atop an old shoe.
"
860,"How many leafy greens and herbs can you name? At this minimally embellished Armenian bakery, watch as two seasoned chefs knead, roll out, and griddle a specialty flatbread stuffed with more than a dozen chopped varietals. It’s as if they’ve been doing this their entire lives, working with the likes of sorrel, spinach, scallions, and beet leaves to make a tight, forest-green lining that is at once sweet, sour, sharp, and refreshing.It’s easy enough to eat one for a snack and several for a meal. Conveniently, there’s no need to guess what else to order here: The namesake dish is the only thing on the menu, besides a tangy yogurt drink chock-full of dill and cucumber, okroshka, and a simple square of paklava made with flaky phyllo and ground nuts.
"
861,"Everything you really need to know about this notable steakhouse is foretold within minutes of your arrival, when those complimentary duck-fat fries are placed on your table. They are pretty much perfect and very welcoming. Spend as much time savoring them as the lengthy Bourbon and wine lists, which flaunt a deep knowledge of top producers in Spain, Napa and Burgundy—all available at reasonable prices.The most notable specialty may be the butter-poached steak, sporting a serious crust and cooked to order. However, the pot pie filled with two pounds of lobster meat in puff pastry ensures that flavors are thoroughly enjoyable. Sides are better than they need to be, so do not miss the black truffle mac and cheese or asparagus with preserved lemon gremolata.
"
862,"Set on a busy corner with an unassuming façade, this may be a humble storefront, but it’s all heart with an inimitable taste of home. The eldest in a small but growing group of locations, you’ll be summoned to the counter here for a Styrofoam plate—but the braised meat with vegetables and handmade tortillas that fill it are the ultimate trophy.This clean, airy and family-owned spot is open all day, so pop in when the mood strikes to sample their daily specials. Consult the chalkboards for the latest update, then snag a seat at one of the few tables with a view of the grill. Cochinita pibil, shredded pork with sweet achiote spice and creamy black beans, is the very picture of comfort, especially when bested by the warm and toasty tortillas.
"
863,"Sequestered inside a former warehouse on the industrial fringe of Chinatown, majordōmo's location may not be perfect, but inside, this place pulsates with energy, especially from the open kitchen. Reservations can be a challenge to land online, but gamblers can test their luck by trying for one of the few counter seats on a walk-in basis. Is it worth the hype? You know it. Its singular take on Asian cuisine delivers hit after hit. Chinese bing bread topped with duck liver mousse is a classic, or go for smoked roe and egg or spicy pulled lamb. Then, vegetable-inspired market dishes like raw sugar snaps with horseradish share equal time with staples like legendary crispy pork belly, mafaldine with crab and uni with broken tofu. 
"
864,"The success of this precious jewel, set within a red brick structure and among a score of shops, is no secret, as evidenced by the onslaught of people vying to get in. Nominally embellished with sleek ash wood furniture, servers here mill about the room with big smiles and quiet efficiency.The little bites and dishes that precede the nigiri can often feel like a second thought at most counters. Not so in this case, where Chef Morihiro Onodera's omakase yields an impressive amount of food. A perfect cube of house-made tofu with wasabi and soy tailed by abalone with aged yuzu pepper make for enticing openers. Close on the heels are such impeccably executed items as firefly squid with wakame seaweed and halibut sashimi with pink peppercorn. Minimally seasoned nigiri may unveil everything from clean, white hirame to appetizingly oily mackerel. Most of the products are sourced from Japan, but big eye tuna from Hawaii and uni from Santa Barbara make compelling appearances.Thought and effort go into how this meal ends. For dessert, behold peak-season fruit, vegan mochi, and a raindrop cake with brown sugar syrup—all capped off by a box of taiyaki to take home and enjoy the next morning.
,
"
865,"This breezy, classic bistro may just be your next choice neighborhood haunt. Nestled amid the shops in Chinatown, the window-flanked space offers a full bar and dining room along with an inviting foyer and terrace. Clean, white walls are richly adorned with artwork and rows of wine bottles. The bar is of course beloved by solo diners, while groups should go for a table by the windows. Then get nibbling on a variety of cheese and charcuterie, before savoring such piquant mains as bouillabaisse Marseillaise with seafood aplenty, tomato, garlic, and herbs. A hunk of sourdough is great for sopping up its fragrant broth. If that sounds heavenly, just wait for the decadent pot de crème.A brief wine list, dominated by French labels, amplifies the experience.  
"
866,"An LA original, this colorful room has been dispensing regional Mexican cooking for two decades. Along the way, Chef/owners Jaime Martin del Campo and Ramiro Arvizu have become culinary celebrities, earning slots on Telemundo and Univision. But the recipes they learned at the feet of their Jaliscan grandmothers endure, just like the classic mariachi tunes that play overhead.The kitchen turns out a host of complex and festive family dishes that are menu musts—like chicken enchiladas smothered in a trio of rich moles (including the famed 45-ingredient mole negro). Poached fish in chipotle crema is intense, yet delicate; while a stuffed poblano chile en nogada is a riot of flavor—spicy pepper, rich ground beef, pecan cream and tart pomegranate seeds.
"
867,"Come with a group and order with abandon. The food here is so good that it will be hard to hold back. This dining room manages to be both modest and ornate, filled with large round tables covered in purple linen, alongside walls of gold-framed photos and murals. The vibe is so open and friendly that you might see cheese plates being enthusiastically shared among neighboring diners.The cooking is as honest as the servers, who are happy to direct you on how to order best. Dolmeh and chicken kebabs with stewed sour cherries and an irresistible yogurt sauce are the kind of dishes one can imagine eating every day of the week. Fattoush made with crunchy vegetables, verdolagas and dressed in a lemony dressing sprinkled with sumac spells of garden goodness.
"
868,"This large ""enclosed"" restaurant is tucked inside the multi-use Hauser &amp; Wirth Arts Complex. If that doesn't clue you in on its creative bent, the very conceptual art and open-plan kitchen will surely do the trick. The dining room meanders between a marble bar donning silver bowls of fruit, edgy light fixtures, and whitewashed brick walls. The cooking is strong, focused, and Southern leaning. Inspired by deer camps from the local farming community, the venison burger sandwiched between brioche with pickled green tomato and fried leeks is top of the charts. Sprinkled with benne seeds, Gulf shrimp aguachile with cucumber and avocado is enriched by a ginger-lime dressing. Excellent desserts await, but for a simple finale go for one of the house-made sorbets.
"
869,"As cool and convivial as ever, this is the kind of place where both diners and staff seem perpetually at bliss. Inside, it all feels like a labor of love, thanks to the husband-and-wife team who make it their mission to bring fresh, rib-sticking food to this neighborhood. The space itself is warehouse-sized and rustic, with a copper bar, tulip-shaped pendant lights, booths that appear virtually suspended, and a flaming red-domed oven.However, it is the cooking that lures these crowds. To wit: a justifiably popular deboned and properly grilled whole fish stuffed with pea tendrils, fried herbs, and charred citrus. Desserts though are equally enticing, so save room for a rich and creamy chocolate budina tucked into a crisp tart with salted caramel.
"
870,"Everyone wants a piece of this Middle Eastern spot, exuding all the downtown feels thanks to an open-air setting. A wall of dangling greenery greets you at the entrance, and a sense of bonhomie permeates the air. Bread, in all its wonderful variations, gets a starring role here—from fresh pita to savory black sesame and buckwheat loaves. Dinner standouts include succulent whole prawns, marinated with harissa and grilled to tenderness over a blazing flame, then paired with a creamy and cooling zucchini tzatziki. Slow-roasted lamb neck shawarma is equally divine and juicy with edges seared like a great steak.If you can exercise some restraint at dinner—and it certainly won’t be easy—save room for the delightfully rich and addictive house-made ice cream. 
"
871,"Marugame is a Japanese town where udon is loved and revered. In LA, it is a restaurant that refines the noodle to an art form. Here, diners are even privy to these large discs of dough being rolled out, stretched, and cut into deliciously chewy strands. The space is simple, clean, and welcoming, as evident by the groups of friends and families with tots in tow. Everyone appears to be on a mission—to indulge in these savory and slurp-worthy bowls. One fine example is the mushroom udon, which is infused with miso to create a creamy and umami-rich base. There are other items on offer, like the uni and miso ""carbonara,"" but with such wonderful hot and cold udon choices, bonus toppings, and cold Asahi on tap, the noodle clearly deserves to take home the trophy.
"
872,"First things first: Tsubaki is not a sushiya. Barring a lovely plate of sashimi (kanpachi), the menu at this delicious Japanese gem is comprised of classic izakaya food. Think fluffy whipped miso tofu, topped with marinated cherry tomatoes and pickled scallion kimchi; Salmon Creek Farm pork shumai with braised bacon dashi; and tender grilled chicken “oysters” kicked up with yuzu kosho. Dishes are meant to be shared and paired with beer or sake. Beverage lovers will thrill to the excellent selection of local craft and distilled sake—and they’ll also get to choose their own cups to enjoy these sips.Reservations and use of the restaurant’s valet are highly recommended, especially in the summer when nearby Dodger Stadium is stormed with traffic.
"
873,"This one-time taco truck is now comfortably ensconced in its brick-and-mortar structure in the burgeoning Arts District. Its original taquero may have moved on with talented Chef Jason Beberman filling in; but those long lines remain, thanks to the team's ability to develop their own expression of modern Mexican cuisine. The sleek space has playful touches, like spray painted table numbers, that match the overall vibe.Almost everything on the menu is worthy—from fish tacos with chipotle créma to taquitos stuffed with all the fixings in a baked potato. For a more unusual bite, try the pan-fried potato taquitos with avocado, tomatillo salsa, cotija, and chives; tailed by scallop aguachile with strawberry-morrita oil and serrano.  
"
874,"There are Italian restaurants all over, and then there are restaurants that cook real Italian food. With a nod to the Brera district in Milan, which boasts a deep history of agriculture, art and fashion, this operation honors its namesake with an edgy space, warm décor, and cooking that's specific to the Lombardi and Veneto regions. A set of affable and informed servers merely add to the lure.Begin with rustic house breads accompanied by butter and anchovy or ricotta and bell peppers. Then launch into a fried donzelle with dry-cured lonzino, lardo, and salame Felino; or luscious octopus with a chickpea purée and 'Nduja. Save room though for the true star of the show—a remarkably authentic risotto Milanese, presented with flair and packed full of flavor.
"
875,"It is a sliver of a spot with space for only ten diners at the counter, but this Echo Park hit punches way above its weight. There is a cheerful orange façade with a takeout window and a picnic table shaded by umbrellas; inside, the narrow room features a white wall with slender wood slats and bare bulb fixtures. Konbi is the brainchild of Chefs Nick Montgomery and Akira Akuto, who present a unique menu of Japanese sandwiches, product-focused small plates and Proustian pastries. Tuck into the pork katsu sandwich, a panko-crusted pork filet dabbed with tonkatsu sauce, mustard, and set between slices of soft bread from local bakery—Bub and Grandma's Bread.At dessert, order a wedge of custard tart for its delightfully unexpected layer of date paste.
"
876,"This “factory” is actually sleek, with cement columns, a modern bar and wide-open garage doors that enhance its lofty feel. However, the heart and soul of its kitchen is dedicated to traditional Northern Italian cuisine. This should come as no surprise, as Angelo Auriana and Matteo Ferdinandi are turning heads with their quickly expanding empire. Devotion to regionally specific flavors is clear in every bite. Ravioli, made in house, tucked with seafood and tossed in an aromatic and savory sauce, is a winner, but don't skip the shatteringly crisp focaccina calda di Recco, filled with Crescenza cheese—it's sublime. Desserts, including the paciugo, are a strong finish.Wine lovers take note—come Mondays, when bottles are half price at lunch and dinner. 
"
877,"This airy stunner, which occupies a former church in the heart of Downtown, flaunts an impressive open ceiling allowing diners to stargaze—and that’s not even counting the occasional celebrity sighting. The boisterous atmosphere is beloved by the trendy patrons, who can be seen swapping small plates from perches at the two circular bars and eclectic sofa-stuffed lounge.On the global menu, creative dishes sit side-by-side with more traditional treats like John Dory in a leek fondue strewn with pan-seared gnocchi and mushrooms. Save room for clever desserts like yuzu custard with basil oil and cucumber sorbet, or opt for another cocktail from the extensive list.
"
878,"Come here, eat and decide for yourself what it means to be an Indian gastropub—know however that it will be a thoroughly delicious process. The skilled kitchen delivers each dish with flavor and fun through its use of authentic ingredients mingled with global inspiration. Find the clearest expression of Chef Pawan Mahendro's philosophy in the poutine, accompanied by masala-spiced potatoes with the perfect dab of gravy, mozzarella and chicken tikka. Some mains may feature a simpler pairing of appetizing flavors, like fried fish served with chutney. Other menu options just rely on standard favorites, like Southern fried chicken—traditional in look only but a head-spinner in flavors.The bi-level dining room and tiny kitchen are as colorful as the cuisine.
"
879,"Straddling an entire corner and tucked along the edge of downtown LA, this airy spot woos with an open kitchen and industrial look combining exposed ducts, brick walls and glass-block windows.Over in the kitchen, the menu goes on to please palates with favorites like chunky guacamole. Tostaditas de ceviche have just the right amount of crunch, heaped with citrus-marinated whitefish, diced cucumber, mango, avocado and slivered fresh chili for a zesty one-two punch. Enchiladas de mole arrive with generous chunks of roasted chicken and enveloped in a dark brown mole poblano that is sweet with ripe plantain and balanced by bitter chocolate and myriad other ingredients. Silky-smooth flan ends things nicely, especially with a shot of custard-rich rompope.
"
880,"Set amidst fashionable shops and eateries in a hipster neighborhood, this Italian-influenced restaurant's modern house with a much-talked-about terrace doubles as a headquarters for area denizens. The young, stylish staff is highly dedicated to delivering a pleasant experience without putting on any airs.The menu is equally unpretentious, with a nice selection of not-so-small plates along with dishes designed for sharing. It's all about clean flavors and simple preparations here, with delicious braised lettuce bruschetta and smoked yellowtail collar. Pastas are rave-worthy; the salumi agnolotti dazzles with its smoky and salty flavors.Wines from small producers in France and Italy, as well as organic and biodynamic labels, show attention to detail.
"
881,"With its tall mirrors, tiled walls and tin ceilings, this rustic Italian eatery is every inch the classic trattoria. Hidden in plain sight just across from Grand Central Market, it is a known quantity with the local crowd, who fill these tables at all times of day. A few bites, and you'll be ready to pledge allegiance to the Republic, too.The array of excellent handmade pastas is seemingly endless, like long, tubular strands of bigoli della nonna, headlinng an impeccably balanced angus-and-sausage ragout. Then, try to pry yourself away from the noodle nexus and savory tomato-based sauces to savor freshly baked olive oil bread, deliciously paired with bites of polpettine di gamberi. Be sure to finish with a creamy affogato and be on your merry way.
"
882,"This is a sleek, stylish, and modern haven with an airy and fluid design. A counter and open kitchen reside if only to showcase the culinary pyrotechnics of Chef Josef Centeno; and the deeply robust prix-fixe flaunts all the fireworks—think peak-season ingredients infused with wide-ranging flavors.The mesmerizing kitchen (orange flames can be seen emanating from the wood-fired oven) places equal emphasis on both land and sea; while the menu is inspired by the culinary traditions of Japan and Italy. For starters, thin slices of geoduck are tossed with top-grade abalone, charred onion, nori oil, and citrus for a refreshing, flavor-brimming feast. Binchotan-grilled sea bream brings spring into focus with vegetables like locally farmed rapini and pea leaves. However, umami is the real taste of choice when it comes to plates like hand-torn pasta with porcini ""bolognese,"" lovage-dashi butter, and salted shiso, or the signature satsuki porridge with its moat of parmesan cream and rich Santa Barbara uni.The frangipane clafoutis with quince and Chantilly cream is a sweet send-off. Ardent oenophiles may then indulge in a sip from the organic and biodynamic wine list for absolute bliss.
"
883,"This entrance can be tricky to locate, set within the ever-evolving ROW DTLA, so look for the fluttering noren on the first-floor of building M2. An American white cedar counter dominates this softly toned space and ensures that dining here is an intimate and engaging experience with Chef Brandon Hayato Go.With only one seating per night, this is the kind of destination where a handful of lucky diners are privy to an exemplary culinary spectacle. Many of the courses begin with ingredients that are attractively arranged, then finished before your eyes, and presented by the chef with detailed explanations. The highest quality product is further elevated by such unimpeachable technique as the use of a binchotan grill. To kick off the kaiseki, the chef serves a small bite, or sakizuke, like chilled, charred eggplant with ginger and dashi to ward off the swelter of summer. From there, it's a seasonal celebration artistically arranged on pieces of vintage Japanese pottery and porcelain collected by the chef. Then local corn and sea scallops is transformed into kakiage; bonito is lightly smoked over rice bran straw; and miso-glazed black cod is folded into a luscious rice pot to conclude the meal.
,
"
884,"Courtesy of the same owners behind the posh Alimento, this is a neighborhood pizza joint done right. Familiar items aside, the kitchen boasts a clear eye toward quality ingredients and careful presentations. For instance, hand-breaded mozzarella sticks with chunky marinara bring out the kid in all of us, while pizza reigns supreme at lunch and dinner. The latter features such adult inflections as fiery chilies alongside more typical trappings like pineapple on the Hawaiian. The stepmother Italian sub is addictive and not unlike the salads, which are far from a tag-along, highlighting large portions with tasty blends.Desserts are somewhat limited but with a creatively rendered tiramisu and hefty wedge of cookies &amp; cream semifreddo pie, who’s complaining?
"
885,"This is a Jewish deli with an old soul. Inside, the décor is classic bubbe, arranged with floral wallpaper, wood floors and marble-topped tables. There’s even a vintage rotary phone mounted on the back wall that serves as a conversation piece or perhaps even a gentle reminder to call your mother already.You will not leave hungry here—even the small matzoh ball soup feeds two. The house-made Toronto-style bagels are terrific at any time of day, while the heartwarming Reuben surely ranks as one of the city’s top. Come dinner, start with a chopped liver spread with fried onions, trout roe popovers or potato latkes with sour cream. Then tuck into a comforting smoked fish platter or glazed brisket, which serves three or more at any given time.
"
886,"Keep an eye out for the neon pig above the door of this modern Filipino comfort food spot—think of it as a porcine portent of things to come. Inside, the vibe is family-friendly and casual, featuring a mix of aluminum and wooden tables set with bamboo and metal chairs. Order at the counter and take a number before grabbing a seat, that is if you can make a decision after reviewing the mouthwatering menu loaded with—you guessed it—pork. Adobo pork belly nigiri, a chorizo burger and a belly banh mi dabble with fusion, while dishes like lechon kawali stay in line with Filipino tradition. Come with a pal to tuck into the patita—a hefty pork shank braised, then deep fried and smothered with a chili- vinegar- and garlic-sauce for a bonanza of flavor. 
"
887,"Find this laid-back little café opposite the pedestrian plaza, Sunset Triangle. The dining room itself is triangular as well as hipster-friendly with a rustic blend of exposed brick, concrete floors and varnished wood tables.As casual as the vibe may seem, this is a serious kitchen dedicated to Asian cuisine. Be sure to try their vegetarian variations on classics such as pork-free mapo tofu, daikon dumplings and daily specials like the lotus root or seaweed salad. However, the cooking truly shines with Taiwanese specialties. The three-cup jidori chicken is its own simmering feast in a clay pot of dark meat with equal parts soy, sesame oil and rice wine reduced to a deep brown glaze, then studded with chopped green onion, dried chilies and whole garlic.
"
888,"Authenticity and tradition are paramount in this extraordinary little sushiya, which is sure to leave guests stunned from the start. Outside, there is nothing more than a modest beige-tiled façade with an enigmatic “Q” hanging above the door. Inside, vintage masks, pottery and lithographs bring a certain soul and spirit to the space.A comfortable banquette may be inviting for groups, but the best perches in the house are found at the counter. From the moment you walk in to the rapid succession of courses that follow, everything in this dining room seems steeped in a sense of calm. Meals typically begin with Chef Hiroyuki Naruke, who gracefully prepares every item and thoughtfully serves each diner virtually with his own hands. Edomae sushi arrives as an omakase of sublime fish, while other courses may commence with downright flawless sashimi and judiciously seasoned nigiri. Case in point—amberjack sashimi with onions and soy, where each morsel is sliced, seasoned and set before your eye. This may be tailed by such delicious nigiri as Hokkaido scallops, kohada and fatty tuna.The complete and immense pleasure of dining here extends right to the simple, spongy and fluffy block of tamago.
"
889,"There may be no more pleasurable place to learn about kappo-style cuisine, which has only recently made inroads into the American dining scene, than this stellar Japanese space, featuring a few tables and counter. The latter is crafted from a centuries-old cypress tree, set before chefs grating wasabi and a backdrop of amber-hued whisky. While the décor feels minimalist, surrounded by an industrial edge of soaring concrete ceilings and exposed pipes, service is wonderfully engaging and attentive, with thorough explanations of each unique course.À la carte is offered, but the multi-course kappo-style is the best way to experience this kitchen's creations. Dishes bring together a range of inspired Japanese flavors, but equal attention is given to texture and artistic presentations.Fixed menus here present a progression of courses selected by the chefs, which may include a few raw dishes. Highlights reveal an innovative ""true chicken teriyaki"" that has been dried and rehydrated to render enticingly chewy results. A bowl of California rice with favas, peas and shiso makes for a delicious prelude to Holstein steak topped with wasabi and diced pickled plum that's been aged for four years.
"
