,0,1
723,"<div class=""js-show-description-text""><p></p><p>This cozy subterranean space feels like an undiscovered hideaway, but the secret is offcially out. Though waits can be long, the helpful staff always goes the extra mile to steer guests through a rotating menu of complex shared plates.<br/>Familiar favorites and seasonal specials make for a festive spread of adventurous, yet universally <span>...</span></p></div>",
724,"<div class=""js-show-description-text""><p></p><p>This table continues its reign as a stylish setting for rustic Italian cooking. Whether waking up with brunch, snacking at aperitivo hour, or filling up at the bar with the $25 trio, there’s an excuse to stop in for any occasion or budget. While the service may not always be the most <span>...</span></p></div>",
725,"<div class=""js-show-description-text""><p></p><p>Chicago and pizza go together like peanut butter and jelly, but does the Windy City need yet another shop dedicated to the crusty stuff? If it is this one, you bet your brick-lined gas oven it does, as this excellent rendition gives any of its kind a run for their money.<br/>A <span>...</span></p></div>",
726,"<div class=""js-show-description-text""><p>The restaurant-studded W. Randolph corridor recently welcomed the gleaming Gioia. Set amid a host of new developments, it is in full swing, thanks to its authentically Italian accents and contemporary mien—elegant Venetian stucco walls and a blast of blue via a piece of art. The black marble bar encourages nursing—a <span>...</span></p></div>",
727,"<div class=""js-show-description-text""><p>It's a simple, sleek spot with weathered wood floors, exposed brick, and pendant lights. Leather banquettes along the periphery and tables in the center are some of the other features of this Central Asian culinary operation. <br/>The menu is chock-full of Kurdish classics, with similarities from the cuisines of Turkey, Middle <span>...</span></p></div>",
728,"<div class=""js-show-description-text""><p>Its exterior is unassuming, but one step inside the rustic-chic hot spot and you'll be smitten by its lively vibe, warm hospitality, and seductive aromas. Acclaimed chef, Zach Engel, brings his experience to bear on this personal brand of modern Middle Eastern cuisine. His prix-fixe allows diners to make their <span>...</span></p></div>",
729,"<div class=""js-show-description-text""><p>This is a small but cute spot, with the smell of smoke wafting up through the air and on to the sidewalk. The décor features some novel touches, like corrugated metal, wood blocks that appear to be dripping in tar, and a black wall strikingly marked by a red, orange, <span>...</span></p></div>",
730,"<div class=""js-show-description-text""><p>What's the best Italian-American restaurant in town? There is no right answer. Then consider Chef/owners Ian Rusnak and Eric Safin's newcomer and you might just change your mind. With Sinatra crooning overhead, sleek wood overtones, and handsome leather, it's hard not to be besotted by this intimate little gem—and everyone <span>...</span></p></div>",
731,"<div class=""js-show-description-text""><p>Make your way past a charming brown stone-like exterior and set of heavy wooden doors to arrive at this Mexican gem composed with vaulted wood ceilings and wrought -iron chandeliers. The brick walls of this bi-level space are decked out with ranchero-inspired paraphernalia, so if images of cowboy hats and <span>...</span></p></div>",
732,"<div class=""js-show-description-text""><p>This stylish, gray-hued room, set off the beaten path in Fulton Market, has a peaceful and meditative mood. Fitted out with velvet-smooth leather seats and plush carpeting, there is an inviting sense of intimacy and diners are all the more ecstatic for it. The meal is first and foremost a <span>...</span></p></div>",
733,"<div class=""js-show-description-text""><p></p><p>A vivid neon sign signals the entry into this stylish spot. Elske, Danish for ""love,"" is a hip and elegant offering brought to you by husband-and-wife team, David and Anna Posey, and what they do here is pure culinary magic. The spacious setting is equal parts minimal and intimate; <span>...</span></p></div>",
734,"<div class=""js-show-description-text""><p></p><p>Smyth is so very chic, styled with a small lounge area resembling a living room, while a large portion of the floor plan is devoted to the impressive open kitchen. <br/>This talented brigade, led by Chefs John Shields and Karen Urie Shields, has evolved since opening. Theirs is cooking that <span>...</span></p></div>",
735,"<div class=""js-show-description-text""><p>The surrounds are industrial and rather bleak, but get up close only to discover this veritable mirage of a spot. Settled on a bright corner, it is a pulsating retreat that virtually lures you in with hospitality. If that's not irresistible, the interior features a series of intriguing murals by <span>...</span></p></div>",
736,"<div class=""js-show-description-text""><p></p><p>Sure, you could come for a salad, but the focus here is on pizza—and yours should be, too. The dining room is cozy, showcasing an open kitchen where pie production is on full display for all to see. And in a playful bit of recycling, empty tomato sauce cans <span>...</span></p></div>",
737,"<div class=""js-show-description-text""><p>This good-looking stage is a refreshing and welcome respite from the heavy-hitting Devon Avenue spots. Named for the mythical weapon of the Hindu God of Thunder, the dining room is hugely appealing, thanks to an array of windows draped with billowing fabric, intricately carved artwork, and a spectrum of purple <span>...</span></p></div>",
738,"<div class=""js-show-description-text""><p></p><p>Sequestered inside a rather plain and dimly lit space, a bar up front gives way to this more contemporary and bright dining room. The latter is a hit among locals and tourists looking to get all dressed-up for a night out on the town.<br/>The menu has a handful of small <span>...</span></p></div>",
739,"<div class=""js-show-description-text""><p>Housed along a thriving row of Mexican restaurants, this beau stands tall due to its singular focus on pork. Enter only to find yourself enveloped in intoxicating aromas wafting from flash-fried chicharrónes and a pig roasting. A simple, laminated menu caters to those who wish to linger—perhaps over the popular <span>...</span></p></div>",
740,"<div class=""js-show-description-text""><p></p><p>Chef and co-owner Jourdan Higgs is pushing boundaries at his new restaurant—a small and intimate gem, where Creole and Italian cuisines converge. This dining room makes its debut with a burst of color, weathered wood, as well as an array of neatly arranged tables. And let's not forget the <span>...</span></p></div>",
741,"<div class=""js-show-description-text""><p>Located just a stone’s throw from the National Museum of Mexican Art, this south-of-the-border charmer boasts a colorful dining room peppered with artwork, thumping cumbia music, and a chill vibe that makes you want to linger forever. The deliciously authentic food just brings it all home. Chef Alfonso Sotelo worked <span>...</span></p></div>",
742,"<div class=""js-show-description-text""><p>This sleek operation arrives courtesy of two passionate young chefs, Dave Park and wife Jen Tran. In this kitchen, they aim to impart complex and authentic Korean flavors to a myriad of sophisticated diners. All this transpires in an elegant, intimate and ultra-modern setting—and the result is foodie date-night perfection.Chef <span>...</span></p></div>",
743,"<div class=""js-show-description-text""><p>Across from Wrigley Field and brought to the Windy City by the Boka Group, this casual spot is well-tread by oyster-slurpers and beer drinkers. The mien is airy and modern, with large windows and colorful accents; downstairs, wood floors give way to black-and-white tiles around the horseshoe bar. Service walks the <span>...</span></p></div>",
744,"<div class=""js-show-description-text""><p></p><p>Just a baseball’s throw away from Wrigley Field, this restaurant is named for legendary Cubs pitcher, Mordecai Brown. Set inside the trendy Hotel Zachary, it appeals to sophisticated diners with its stylish interior, outdoor patio and impressive Bourbon collection.</p><p>Crowd-pleasers like fried cheese curds and burgers make an appearance <span>...</span></p></div>",
745,"<div class=""js-show-description-text""><p>Located over on the ""Elston Industrial Corridor"" is this spot with two distinct experiences. The first floor izakaya caters to those in the mood for some sips (think terrific cocktails) and snacks (Wagyu sliders, anyone?). However, it's Omakase by Hinoki Sushiko, the counter located on the second floor, that shines. <br/>Upstairs, <span>...</span></p></div>",
746,"<div class=""js-show-description-text""><p>Striking, dedicated and delicious are an apt way to describe this passion project from Chef Marcos Campos and Owner Daniel Alejandro Alonso—both of whom are champions of La Brújula, the noted women-owned conserva company. A stone-carved chandelier, metallic accents and hand-painted ceramics are merely some of the flourishes of this <span>...</span></p></div>","<div class=""js-show-description-text"">
<p></p>
</div>"
747,"<div class=""js-show-description-text""><p>Marked by an expansive space, this is one of the more unique concepts to arrive on Chicago's culinary scene. Beatnik is nothing less than a sensory haven; amid all the bodies under glittering chandeliers, find double-height ceilings, repurposed street lights, an atrium, and colorful tiles—all of which evoke an inviting <span>...</span></p></div>",
748,"<div class=""js-show-description-text""><p></p><p>This jewel box is the epitome of subtlety, serenity, and sophistication. Year after delicious year, the kitchen team flaunts their supreme talent. Each dish is a personal expression of their passion and vision. Playful delicacies include butter-brushed corn, dotted with an Espelette pepper and corn purée and finished tableside with summer truffle; <span>...</span></p></div>",
749,"<div class=""js-show-description-text""><p></p><p>Inside this stand-alone structure in booming Bucktown, find a chicken wire-caged pantry stocked with jars of red pepper, black vinegar, and other pungent edibles—all of which appear again in the food on your plate.Offerings at this hip haven crisscross the globe. Chef Edward Kim has a vivid imagination and his cooking takes detours <span>...</span></p></div>",
750,"<div class=""js-show-description-text""><p>If you think you know what to order from this kitchen because you’ve been to Oaxaca, just wait a minute and listen to your fellow diners. They too have made the journey and their knowledge could probably draw a map of the city. Located in the heart of Little Saigon, <span>...</span></p></div>",
751,"<div class=""js-show-description-text""><p></p><p>There comes a point when a pared-down style jumps from being easy-to-miss and becomes hard-to-forget. When a lack of any FOH staff means the service is playfully all-hands-on-deck. When the explicit rap music reflects the chefs’ ethos, going well beyond laissez-faire to the point of “we don’t give a damn.” You probably won’t either once <span>...</span></p></div>",
752,"<div class=""js-show-description-text""><p><span>Don’t let the name fool you. This isn’t a lederhosen-wearing, beer stein-waving sort of spot. Instead, imagine a former warehouse-turned-chic setting for German-rooted, Southern-slanted food. The fact this is complemented by an ace beer selection, Bavarian-inspired cocktails, and wine list worth a deeper look simply adds to the allure.</span><span>Begin with <span>...</span></span></p></div>",
753,"<div class=""js-show-description-text""><p>This quaint spot from Chef Ryan Brosseau pays homage to his French-Canadian mémé, Margaret, and fittingly, resembles a grandma's house. If you're envisioning a blue-painted façade, white-trim windows, and framed paintings all set below a decorative ceiling, you're starting to get the picture here. A small bar in the back and <span>...</span></p></div>",
754,"<div class=""js-show-description-text""><p>It’s a charming irony that an establishment whose name translates as “Vietnamese Restaurant” manages to stand out in a neighborhood that's packed to the brim with competing options. As soon as you enter, there’s a sense of easy hospitality—akin to that of being welcomed to a relative’s dining table—which is <span>...</span></p></div>",
755,"<div class=""js-show-description-text""><p></p><p>Despite the frilly connotations, this sausage-and-beer haven's name refers not to doilies, but to the layers of foam that remain in the glass after your craft brew has been quaffed. You’ll also have plenty of time to study the lace curtains as you plow through their vast beer menu—go ahead and try <span>...</span></p></div>",
756,"<div class=""js-show-description-text""><p><span><span><span><span><span><span>The name is Thai for “eat rice,” and you’ll want plenty of it to mop up every last bite of this kitchen's perfectly spicy, salty, sweet and tangy Northern Thai dishes. Operated by chef siblings, Nova and Kami Sasi, this is a fun, lively spot, with graffiti-like signage, hip-hop in <span>...</span></span></span></span></span></span></span></p></div>",
757,"<div class=""js-show-description-text""><p>Husband and wife Son Do and Chinh Pham tell stories of their childhood in Saigon at this gem on bustling Belmont. The moniker is a marriage of their names, which not only enhances the charm factor but also makes total sense considering they were high school sweethearts. A set of <span>...</span></p></div>",
758,"<div class=""js-show-description-text""><p></p><p>It might come as a surprise that this sleek, good-looker shares the same owners as next-door Schubas Tavern. And like a tavern, its menu paints broad strokes to appeal to a wide range. Start off with a smoked trout and artichoke dip served with house-made salt and vinegar chips <span>...</span></p></div>",
759,"<div class=""js-show-description-text""><p>This hot mama greets diners with a marble bar along with an enticing cabinet display of premium conservas, oils, and spices. A series of top cocktails and sherries merely add to the allure. Set towards the back, the dining room is a visual masterpiece, thanks to plush red banquettes, vintage <span>...</span></p></div>",
760,"<div class=""js-show-description-text""><p><span><span><span><span>Though it’s named for an obscure wine grape, this dressed-up Southern Italian eatery dishes up crowd-pleasing fare, from wood-fired pizzas to charcuterie and pastas. Its hefty brown leather booths are designed for snuggling into with a group, while the massive front bar draws solo diners to commune with a bowl <span>...</span></span></span></span></span></p></div>",
761,"<div class=""js-show-description-text""><p>Chef Zubair Mohajir's culinary respite is a delicious and welcome surprise. The small, intimate, and historic ""coach house"" brings a myriad of new flavors and layers of complexity to the cuisines of both South- and Southeast Asia. Born in India and raised in the Middle East, before settling down in Chicago with <span>...</span></p></div>",
762,"<div class=""js-show-description-text""><p></p><p>Make your way to this urban enclave—replete with a cherished counter and soaring skylights—for impressive sushi, small plates, and specialty Japanese cocktails. The window display of bamboo, moss, and river stones is a symbol of welcome serenity on this ever-changing stretch. Aside from its standout façade and sleek interior, Arami draws a crowd for Chef Ismael <span>...</span></p></div>",
763,"<div class=""js-show-description-text""><p></p><p>Demera’s well-lit corner location welcomes hungry Uptown residents looking to immerse themselves in Ethiopian cuisine. Colorful wicker seating at the dining room’s communal table gives groups an authentic experience, while picture windows offer plenty of people-watching for everyone.</p><p>Vegetarian and omnivorous offerings abound on the menu, which also features <span>...</span></p></div>",
764,"<div class=""js-show-description-text""><p>How does one walk past a window, where a focused sfoglina may be found busy twirling strands of beautiful busiate? You don't. You walk right in—to a world where pasta is king. This team is not out to revolutionize Italian food; instead, they are trying to correct some of its <span>...</span></p></div>",
765,"<div class=""js-show-description-text""><p><span><span><span><span><span><span>Straddling a bustling corner, this handsome New Orleans-style tavern feels right at home in vibrant Wicker Park. The interior is stylish and vast, with a humming bar up front where patrons line up three-deep behind stools. Beyond that, find a casual dining space buzzing with an amiable, but professional staff.</span></span></span></span></span></span><span><span><span><span><span><span><span><span><span><span><span><span><span>Named <span>...</span></span></span></span></span></span></span></span></span></span></span></span></span></span></p></div>",
766,"<div class=""js-show-description-text""><p></p><p>Chicago’s been on a Southern food kick of late, and this sparkling Andersonville charmer is a straight up hepcat. Its enormous arched windows open up to a completely revamped 100-year-old room, featuring long exposed ceiling beams, whitewashed brick, dark slate walls and soft leather chairs.</p><p>But even with all <span>...</span></p></div>",
767,"<div class=""js-show-description-text""><p>The X factor of this delightful gem is apparent upon approach. Think of windows offering a glimpse of the interior design, which features white tufted booths, an intimate bar, and colorful artwork hanging from the walls.<br/>The vibe is abuzz with diners swapping stories of their travels here, primarily for the food, <span>...</span></p></div>",
768,"<div class=""js-show-description-text""><p></p><p>In the sea of Thai restaurants that flank this area, elegant Herb stands out for its lovely wood and stone décor and service staff friendly enough to use your name. This is killer food, elevated and prepared with care.</p><p>The kitchen turns out both a three- and five-course prix-fixe <span>...</span></p></div>",
769,"<div class=""js-show-description-text""><p>Husband-and-wife chefs Tim Flores and Genie Kwon have branched out to launch this iteration of their culinary dreams. The dinner tasting, which is an evolution of their wildly popular café, reflects their training, experience and heritage. Naturally, the result is an ambitious, clever and distinct meal, where traditional Filipino food is <span>...</span></p></div>",
770,"<div class=""js-show-description-text""><p>This accomplished  team is at it again, bringing distinctive flair and flavors to their live-fire creations. Inside, the bi-level space is less about glitz and more about a natural and lush vibe. Lofty windows ensure ample light, but most of the action is over by the open-flame kitchen. Informed and pleasant <span>...</span></p></div>",
771,"<div class=""js-show-description-text""><p>A whitewashed façade and verdant planters welcome diners to this warm and intimate dining room. In contrast, the interior feels more industrial, by way of large steel vats of beer, for which this bijou is clearly beloved. Other furnishings include a long, welcoming bar lined with green tiles, an array of <span>...</span></p></div>",
772,"<div class=""js-show-description-text""><p></p><p>After traveling across India, Chef Marisa Paolillo was sufficiently inspired to return stateside and open a restaurant that celebrates its culinary diversity. Named for the country’s most popular condiment, everything here—from the colorful artwork to the rich curries—shows a deep appreciation for the sub-continent.The well-priced tasting offers an array of specialties. There is also a spring <span>...</span></p></div>",
773,"<div class=""js-show-description-text""><p>As if we needed more evidence that vegan cuisine is alive and thriving, along comes this breezy retreat. Chef/owner Rodolfo Cuadros (of Amaru) is in the saddle, while the staff are always on the ball, presenting diners with a menu full of flavor and textural complexity. This is a vast <span>...</span></p></div>",
774,"<div class=""js-show-description-text""><p>A laid-back neighborhood spot at heart, the interior here is unfussy, with wood paneling and exposed ceilings. And although the vibe is relaxed, the cooking is anything but, thanks to top ingredients and careful techniques. The ""Neapolitan-inspired"" pizza may not be made in the traditional wood-burning oven, but those electric <span>...</span></p></div>",
775,"<div class=""js-show-description-text""><p></p><p>Dining here is like attending an underground dinner party prepared by a merry band of misfit cooks in Chef Phillip Foss’ home (he lives upstairs). There is one seating, everyone is served at the same time, and meals are prepaid so guests can linger. The BYOB policy merely reinforces <span>...</span></p></div>",
776,"<div class=""js-show-description-text""><p>After years of searching for a brick-and-mortar home, Chef Trevor Teich landed upon this welcoming Bucktown location. Named after his mother, Claudia is über cool and contemporary. Modern art adorns its walls and midnight-blue velvet covers the booths. Tables up front are tightly spaced but ideally situated to face the <span>...</span></p></div>",
777,"<div class=""js-show-description-text""><p></p><p>This is everything you want from your favorite neighborhood restaurant—warm, convivial, and never excessive. The fact that its food exists at a level far above the easygoing vibe is an extra-special bonus. The timeless menu has pivoted in the hands of Chef Larry Feldmeier, with ace ingredients, delightful flavor combinations, and fine presentations. Begin with an artistic mingling <span>...</span></p></div>",
778,"<div class=""js-show-description-text""><p>Featuring exposed brick with travel mementos, artwork, and other curios, Gadabout feels like a quirky boutique. The name is a clue to its culinary style—free-wheeling, fun-loving, and happily unbound. The result is a carte of global flavor combos. To start, fingerling potatoes with tamarind chutney and chaat masala may just <span>...</span></p></div>",
779,"<div class=""js-show-description-text""><p></p><p>Boasting a refreshed interior and an open kitchen equipped with extra gadgets, this big kid on the block greets guests with barrel-aged punch selections, as well as an impressive list of Bourbon and whiskey. From its cookbook collection to brocade walls lined with portraits of life in the South, the place oozes warmth <span>...</span></p></div>",
780,"<div class=""js-show-description-text""><p>This distinguishable exterior is marked by a sea of Mediterranean blue and wall-to-wall array of glass-paneled doors that open onto the street. Inside, all eyes are drawn to the sleek wood-burning hearth, in turn enclosed by a low blue-tiled wall that partitions off the open kitchen. Other walls echo the <span>...</span></p></div>",
781,"<div class=""js-show-description-text""><p>Secreted away in one of the many alleyways in Ukranian Village and amidst scores of other venues, this is an alfresco dinning delight. Takeaway is the other alternative, when the weather isn't right. Regardless, the space is especially unique, thanks to a few garden tables and trestles with hanging plants.<br/>Chef <span>...</span></p></div>",
782,"<div class=""js-show-description-text""><p>Nostalgia is alive and well inside the colorful dining room, complete with oceanic hues, soft cushions, vibrant artwork and a U-shaped bar. A large dining area with proper tables is perfect for groups, while a semi-private nook serves family-style plates.<br/>This throwback is a loud and happy place, thanks to an <span>...</span></p></div>",
783,"<div class=""js-show-description-text""><p>Missouri kid Robert Shaner is the chef/owner of this culinary haven. The name, which translates to ""Robert &amp; Son,"" is a tribute to his father; and having spent time in Paris with his entire family, the menu is—fittingly—classic French with creativity at the forefront. Detailed elegance is the name of <span>...</span></p></div>",
784,"<div class=""js-show-description-text""><p>As the name suggests, this remarkable operation offers a serious caviar spread at a nicely varied price range, but it’s the carefully crafted dishes of Guy Meikle that will have you planning your return visit. The talented chef brings balance and sophistication to Eastern European cooking, intricately weaving Southeast Asian <span>...</span></p></div>",
785,"<div class=""js-show-description-text""><p></p><p>The romantic ideal of a French bistro is alive and well at quaint Bistro Campagne, where a tiny bar by the entrance is ready with your aperitif. Light slants through wooden Venetian blinds, bouncing off cream-and-brick walls in the welcoming dining room. Choose a white cloth-covered table inside or <span>...</span></p></div>",
786,"<div class=""js-show-description-text""><p></p><p>All neighborhood restaurants should aspire to be more like The Warbler. This latest venture from the team behind gather is located just next door, and features a dining room that is far more sleek and contemporary than you might expect. Yet it remains as comfy as ever, helping it <span>...</span></p></div>",
787,"<div class=""js-show-description-text""><p></p><p>A chic, cozy space lets guests get up close and personal at gather. Diners seeking dinner and a show take front row seats at barstools lining the open kitchen’s polished granite counter, while tall communal tables fill with patrons enjoying bites from the menu’s “gather and share” section. A <span>...</span></p></div>",
788,"<div class=""js-show-description-text""><p></p><p>Don’t be fooled by the no-frills interior of this homey little soul food spot. Yes, you order at the counter; and yes, you’ll be helping yourself to utensils, napkins and ice water. However, Luella’s is cooking up anything but fast food. This earnest kitchen makes your order from scratch, <span>...</span></p></div>",
789,"<div class=""js-show-description-text""><p></p><p>Sticky Rice stands out—not only for its focus on Northern Thai specialties, but also for the quality and abundance of dishes made to order. Sunny and citrus-hued, it’s the kind of place where those who dare to step outside their satay-and-pad Thai comfort zone will be greatly rewarded.</p><p>Luckily, <span>...</span></p></div>",
790,"<div class=""js-show-description-text""><p></p><p>When American comfort food just won’t suffice, look to Table, Donkey and Stick for a helping of cozy Alpine fare. The rustic inn-inspired setting reflects its reputation as a gathering place where friends meet at the inviting bar or settle in at communal tables for whimsical, creative compositions.</p><p>To <span>...</span></p></div>",
791,"<div class=""js-show-description-text""><p></p><p>Open since 2014, this osteria has become an area staple, thanks to its charming space and focused menu that displays a keen eye on hearty Piedmontese cuisine. The staff is as welcoming as the design, which features a garage-like glass façade, glowing bulbs that protrude from the walls, bare wood tables and <span>...</span></p></div>",
792,"<div class=""js-show-description-text""><p></p><p>After several years at Topolobampo, the husband-wife duo behind this gem have taken their knowledge and skills to craft this consistently delicious and inventive cuisine. And, the chefs’ deep understanding of Mexican ingredients has allowed them to create elegant and well-priced compositions. Chunks of slowly braised pork carnitas are <span>...</span></p></div>",
793,"<div class=""js-show-description-text""><p>The name was your first clue. The cutout of a pig hanging over the door was your second. Specializing in whole hog, snout to tail butchery, this all-day salumeria offers a dazzling selection of charcuterie arranged on wooden boards or layered on soft deli bread. Such craftsmanship is in full <span>...</span></p></div>",
794,"<div class=""js-show-description-text""><p>A fresh chapter has commenced at this venerable establishment, where new ownership in Tim Lacey and Executive Chef Ian Jones keep the spirit alive and kicking. The space showcases a simple, cozy aesthetic with cork-brown cement floors, chunky wood tables, and sleek white walls. But the highlight, as always, is the open kitchen shielded by <span>...</span></p></div>",
795,"<div class=""js-show-description-text""><p>This charming nook of a restaurant greets its guests with the intoxicating aromas of za’atar focaccia wafting from a wood-burning oven that anchors the space. It’s the kind of advertising that all but demands you order it—and how glad you will be when you do, as it arrives with a <span>...</span></p></div>",
796,"<div class=""js-show-description-text""><p></p><p>Boasting a lively, charming ambience; friendly, knowledgeable service; and a delicious menu courtesy of Chef/owner Diana Dávila, Mi Tocaya is a welcome addition to the burgeoning Logan Square food scene. Bring friends, order a clever seasonal cocktail, try something from the menu and you’ll no doubt leave with a <span>...</span></p></div>",
797,"<div class=""js-show-description-text""><p></p><p>Tucked into a tiny strip mall in the West Edgewater-Upper Andersonville area, San Soo Gab San has generated quite a buzz among serious Korean food fans. Inside, you’ll find a warm, welcoming space with large tabletop grills to cook your own meats.</p><p>Most excitingly, the authentic, traditional dishes turned <span>...</span></p></div>",
798,"<div class=""js-show-description-text""><p><span><span><span><span>This Mexican institution specializes in a single item—birria—tender stewed goat accompanied by diced onions, cilantro, and house-made salsa. In fact, goat is all that’s on the menu, though you’ll get a few options as to how to enjoy it: on a plate or in a bowl, in a small or <span>...</span></span></span></span></span></p></div>",
799,"<div class=""js-show-description-text""><p>Fans of the late Fat Rice will be happy to see the restaurant’s return by way of this casual second act. The open kitchen and generous bar seating remain, though diners now order at a counter before finding a perch at the communal high-top or along the edge of the <span>...</span></p></div>",
800,"<div class=""js-show-description-text""><p><span><span><span><span><span>Equal parts sophisticated Asian eatery and brewpub, BiXi has style to spare—with a glamorous, sun-soaked and plant-filled atrium of a dining room. Named for one of the nine sons of the Dragon King in Chinese mythology, its house brews often incorporate Eastern ingredients, like the dried mango and black tea <span>...</span></span></span></span></span></span></p></div>",
801,"<div class=""js-show-description-text"">
<p></p>
</div>",
802,"<div class=""js-show-description-text""><p><br/>In a neighborhood stacked with restaurant favorites, this cozy little hangout is sure to become another one. The cooking is hard to nail down: from chicken liver mousse with orange marmalade to kefta-spiced cauliflower with chimichurri and romesco, Chef Sam Engelhardt doesn’t seem interested in limiting himself to just one <span>...</span></p></div>",
803,"<div class=""js-show-description-text""><p></p><p>Kids, friends, neighbors—everyone seems to adore Daisies, and what’s not to love? With its tiny but earnest and hardworking kitchen, clean, mid-century modern design and decidedly affordable prices, this local charmer can do no wrong. Pastas reign supreme here, so much so that even gluten-free options are available. Hungry patrons should kick <span>...</span></p></div>",
804,"<div class=""js-show-description-text""><p>There is more than one way to enjoy this handsome Greek looker, set just off Logan Square Park. Some make an entire meal out of the mezze by swiping warm pita through dips, like creamy whipped feta, smoky charred eggplant, and creamy taramasalata. Others might zero-in on that hulking platter <span>...</span></p></div>",
805,"<div class=""js-show-description-text""><p></p><p>Brought to you by Jason Vincent, this fabulous and friendly restaurant is the epitome of Chicago. Its menu is a listing of familiar dishes (think onion rings, crab salad and baby back ribs), albeit drummed up with unique accents reflecting the chef’s distinctive style. The petite space is simple and <span>...</span></p></div>",
806,"<div class=""js-show-description-text""><p>After five years of pop-ups and multiple kitchen pivots, this friendly restaurant has managed to stay both flexible and fun, which is also how we’d describe the cooking. Indian flavors are mixed and mashed in traditional and unconventional ways, as apparent in naan—a prominent menu fixture—topped with salted jalapeños and <span>...</span></p></div>",
807,"<div class=""js-show-description-text""><p></p><p>This neighborhood gem is just as it’s always been and regardless of whether you're squeezed into the main dining room with friends or seated solo at the spacious bar in the adjacent space, the charm of this mainstay endures. The evolving menu focuses on fresh, seasonal, and original fare, keeping it slammed from morning to night.<br/>Barbecued <span>...</span></p></div>",
808,"<div class=""js-show-description-text""><p></p><p>Marked by an ampersand over the door, this operation is the ultimate merging of the Old World and New Order. It’s where remnants of a glorious past live in harmony with chefs who prefer bandanas and beards to toques; and the cuisine remains as ambitious as ever despite the room's saloon-like <span>...</span></p></div>",
809,"<div class=""js-show-description-text""><p>Second restaurants are typically bigger in size and ambition, but that's not so for Chef/owners Johnny Clark and Beverly Kim, who also run Parachute next door. The setup here is so modest that it's almost alarming—four courses and small bites, which change nightly and with no particular cuisine allegiance beyond <span>...</span></p></div>",
810,"<div class=""js-show-description-text""><p></p><p>We could not rate this restaurant due to its prolonged closure. Our inspectors are eager to rediscover this address to share their experience. We invite you to consult Guide.Michelin.com, where information is regularly updated. <br/><span><span>Though there’s a distinctive Korean thread running through the menu, Parachute is an open-ended endeavor at heart. <span>...</span></span></span></p></div>",
811,"<div class=""js-show-description-text""><p>Rib tips may be the Windy City's cut of choice, but that means little to Chef Brian Bruns, whose brisket ranks among the best barbecue in town. Rubbed with salt and pepper before being set in a custom-built, 500-gallon barrel smoker for seven hours, the meat arrives so juicy and <span>...</span></p></div>",
812,"<div class=""js-show-description-text""><p></p><p>Shortly after doors open at 11:00 A.M., the room fills with patrons eager to dig into smoking plates of 'cue. Once inside, peruse the chalkboard menu; then order cafeteria-style before staking your claim among the communal seating.The half-and-half sandwich, piled with pulled pork and brisket, is the best of <span>...</span></p></div>",
813,"<div class=""js-show-description-text""><p>Far more authentic than the average chips-and-salsa joint, Sol de Mexico brightens the scene and palate with a lively atmosphere (cue the mariachi music) and delectable house specialties. Walls painted in tropical pinks, blues and oranges are a cheerful canvas for Dia de los Muertos artifacts. To sample the kitchen’s <span>...</span></p></div>",
814,"<div class=""js-show-description-text""><p></p><p>When Raul Ortega started his taco truck in Boyle Heights back in 2001, he probably had no idea just how hard the city would fall for him. Today his Jalisco-inspired tacos have become a rite of passage, and he now runs a number of trucks around town, not to <span>...</span></p></div>",
815,"<div class=""js-show-description-text""><p></p><p>Set in the quaint village of Rancho Santa Fe, Mille Fleurs has been a longtime—over 30 years—haunt among locals celebrating special occasions. Its elegant piano bar is often filled with well-dressed visitors in town to watch the Del Mar races, while the courtyard patio strung with lights makes for <span>...</span></p></div>",
816,"<div class=""js-show-description-text""><p></p><p>Chef William Bradley's standard-setting dining room is exceedingly ambitious and his team is cooking world-class ingredients with exceptional skill, leaving you hungry for more. The tasting menu is marked by glorious presentations and enhanced by the harmonious application of global flavors.<br/>Addison's cuisine while constantly evolving also retains the chef's signature of <span>...</span></p></div>",
817,"<div class=""js-show-description-text""><p>This Japanese import, whose first shop was opened in Akita Prefecture before spawning numerous offshoots, has been a local hit since day one. The first stateside location, it is set in a Clairemont strip mall and yet attracts a crowd; two more recent spin-offs, in Mira Mesa and Hillcrest, are <span>...</span></p></div>",
818,"<div class=""js-show-description-text""><p></p><p>Chef/owner Carl Schroeder is a La Jolla native with an encyclopedic knowledge of the region’s bounty. He’s been celebrating every locally sourced ingredient for over a decade now in this kitchen, and his repertoire of creative cooking continues to draw patrons for both special occasions as well as date <span>...</span></p></div>",
819,"<div class=""js-show-description-text""><p>You’ll be on the clock at this tiny sushi spot, where the omakase is priced at a straightforward dollar per minute—50 for 12 nigiri, or 90 for 18. But despite such punctuality, you will savor every bite here. In fact, you’ll find yourself slowing down to savor each and every <span>...</span></p></div>",
820,"<div class=""js-show-description-text""><p></p><p>Spicy Sichuan dishes are the name of the game at this spot, where the staff isn’t prone to small talk or smiles but regulars don’t seem to mind a bit. The food is solid and the portions are monstrous, leaving you with delicious leftovers for days.</p><p>The menu is <span>...</span></p></div>",
